VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,day_night,payment_type_1,payment_type_2,payment_type_3,payment_type_4,tip_rate_20
1,1,1.7,158,68,1,10.0,2.0,0,1,0,0,0,1
2,1,0.56,226,146,2,4.5,0.0,0,0,1,0,0,0
2,1,1.53,137,100,1,8.0,2.32,0,1,0,0,0,1
1,1,1.1,48,161,2,7.0,0.0,0,0,1,0,0,0
1,1,0.8,79,224,1,5.5,1.35,0,1,0,0,0,1
1,1,2.7,114,161,1,12.5,2.75,0,1,0,0,0,1
2,2,4.13,143,42,1,15.0,2.7,0,1,0,0,0,0
2,1,3.56,249,229,2,17.0,0.0,0,0,1,0,0,0
1,1,1.2,142,230,2,6.5,0.0,0,0,1,0,0,0
2,1,0.0,158,158,2,3.0,0.0,0,0,1,0,0,0
1,2,1.7,50,170,2,8.0,0.0,0,0,1,0,0,0
1,2,0.7,170,164,1,4.5,1.11,0,1,0,0,0,1
2,1,1.22,230,186,2,7.5,0.0,0,0,1,0,0,0
2,1,2.14,7,226,2,8.0,0.0,0,0,1,0,0,0
1,1,1.7,162,224,2,7.0,0.0,0,0,1,0,0,0
2,1,0.77,68,186,1,5.0,1.26,0,1,0,0,0,1
1,1,2.7,158,162,2,12.0,0.0,0,0,1,0,0,0
1,3,0.6,107,79,1,5.0,1.25,0,1,0,0,0,1
2,1,1.04,90,107,2,6.0,0.0,0,0,1,0,0,0
2,1,1.07,164,90,1,5.5,1.7,0,1,0,0,0,1
2,5,1.39,68,125,1,6.5,0.0,0,1,0,0,0,0
2,1,1.46,234,164,1,7.5,1.0,0,1,0,0,0,0
1,1,1.1,100,50,1,5.5,0.0,0,1,0,0,0,0
2,1,1.1,230,170,1,6.5,1.95,0,1,0,0,0,1
2,1,1.87,90,4,2,8.0,0.0,0,0,1,0,0,0
2,1,6.56,148,37,2,22.5,0.0,0,0,1,0,0,0
2,1,1.67,162,90,1,7.0,1.0,0,1,0,0,0,0
1,1,2.4,158,48,1,10.0,2.25,0,1,0,0,0,1
2,2,0.82,107,79,1,4.5,2.0,0,1,0,0,0,1
2,3,2.19,162,79,1,8.5,1.0,0,1,0,0,0,0
2,3,4.69,164,151,2,16.0,0.0,0,0,1,0,0,0
1,1,1.9,230,137,1,8.0,1.85,0,1,0,0,0,1
2,1,18.81,249,132,1,52.0,8.78,0,1,0,0,0,0
2,1,9.24,234,138,1,28.0,7.01,0,1,0,0,0,1
1,1,1.4,186,163,3,7.0,0.0,0,0,0,1,0,0
1,1,1.6,255,80,2,7.5,0.0,0,0,1,0,0,0
2,5,2.61,233,263,1,9.5,2.2,0,1,0,0,0,1
1,1,18.4,249,132,1,52.0,10.55,0,1,0,0,0,1
